,global_step,loss,not_all_accuracy,not_only_accuracy,total_accuracy
0,1,0.695415735244751,0.5017774105072021,0.5002723336219788,0.5010233521461487
1,51,0.6934425830841064,0.5017774105072021,0.5002723336219788,0.5010233521461487
2,101,0.6912510991096497,0.5017774105072021,0.5002723336219788,0.5010233521461487
3,151,0.6881753206253052,0.5017774105072021,0.5008170008659363,0.5012962222099304
4,201,0.6852357983589172,0.5017774105072021,0.5209695100784302,0.5113930702209473
5,251,0.6819738745689392,0.5017774105072021,0.5525599122047424,0.527220606803894
6,301,0.6789883375167847,0.5017774105072021,0.5351307392120361,0.5184881687164307
7,351,0.6738582849502563,0.5017774105072021,0.6051198244094849,0.553554356098175
8,401,0.6650727987289429,0.5017774105072021,0.7600762248039246,0.6311911344528198
9,451,0.6543629169464111,0.5017774105072021,0.7938452959060669,0.6481102705001831
10,501,0.6394788026809692,0.5017774105072021,0.8022875785827637,0.6523399949073792
11,551,0.6207422018051147,0.5017774105072021,0.8131808042526245,0.6577978134155273
12,601,0.5968669652938843,0.5726004838943481,0.8202614188194275,0.6966844201087952
13,651,0.5666887760162354,0.6234618425369263,0.8355119824409485,0.7297039031982422
14,701,0.5325692892074585,0.6879956126213074,0.8393245935440063,0.7638149857521057
15,751,0.4980376064777374,0.7213563323020935,0.8570261597633362,0.7893300652503967
16,801,0.4631302058696747,0.7549904584884644,0.8766340017318726,0.8159366846084595
17,851,0.4317113757133484,0.7793273329734802,0.8823529481887817,0.8309455513954163
18,901,0.4162519574165344,0.8039376735687256,0.8834422826766968,0.8437713384628296
19,951,0.38678446412086487,0.8132348656654358,0.9076797366142273,0.8605539798736572
20,1001,0.3644479513168335,0.8167897462844849,0.9180282950401306,0.8675126433372498
21,1051,0.34555956721305847,0.8301886916160583,0.9223856329917908,0.876381516456604
22,1101,0.32677242159843445,0.8375717997550964,0.9272875785827637,0.8825215101242065
23,1151,0.30639368295669556,0.853431761264801,0.9349128603935242,0.8942556977272034
24,1201,0.29651349782943726,0.8468689918518066,0.9354575276374817,0.8912539482116699
25,1251,0.2741776406764984,0.8865190148353577,0.9438998103141785,0.9152681231498718
26,1301,0.25693678855895996,0.8848783373832703,0.9509803652763367,0.9179970026016235
27,1351,0.23846571147441864,0.9040197134017944,0.9556100368499756,0.9298676252365112
28,1401,0.22543014585971832,0.9228876233100891,0.953976035118103,0.9384636282920837
29,1451,0.20592600107192993,0.9313644766807556,0.9640522599220276,0.9477418661117554
30,1501,0.18874914944171906,0.9444900155067444,0.9697712659835815,0.9571564793586731
31,1551,0.1775633692741394,0.9483183026313782,0.970588207244873,0.9594760537147522
32,1601,0.17398720979690552,0.9535138010978699,0.9651415944099426,0.9593396186828613
33,1651,0.15333230793476105,0.9600765705108643,0.976307213306427,0.9682084918022156
34,1701,0.14002136886119843,0.9677330851554871,0.9817538261413574,0.9747577905654907
35,1751,0.1281091719865799,0.9721083045005798,0.9852941036224365,0.9787147045135498
36,1801,0.12495889514684677,0.9622641801834106,0.98338782787323,0.972847580909729
37,1851,0.12172409892082214,0.9715613722801208,0.9790304899215698,0.975303590297699
38,1901,0.10257549583911896,0.9756631255149841,0.9880174398422241,0.9818528890609741
39,1951,0.09542127698659897,0.9732020497322083,0.9901960492134094,0.9817164540290833
40,2001,0.09049142152070999,0.9852337837219238,0.991830050945282,0.9885386824607849
