,at_least_6_or_at_most_2_accuracy,at_least_6_or_at_most_2_loss,at_most_3_accuracy,at_most_3_loss,loss,steps,total_F1,total_accuracy
631,0.8570030927658081,0.34042033553123474,0.9636244177818298,0.1414148509502411,0.24116159975528717,6310,0.9134645462036133,0.9101830720901489
632,0.8614054918289185,0.33352482318878174,0.9690316319465637,0.13676446676254272,0.2353857457637787,6320,0.9194261431694031,0.9150866270065308
633,0.8587966561317444,0.33631277084350586,0.9696870446205139,0.1391863226890564,0.23799121379852295,6330,0.9189480543136597,0.9141058921813965
634,0.8601826429367065,0.33384737372398376,0.9694412350654602,0.13877888023853302,0.23655225336551666,6340,0.9193324446678162,0.9146779775619507
635,0.8596119284629822,0.3339044749736786,0.9697689414024353,0.13982780277729034,0.23710398375988007,6350,0.9193131923675537,0.9145554304122925
636,0.8587151765823364,0.33530193567276,0.970014750957489,0.13948655128479004,0.23763439059257507,6360,0.9191043972969055,0.9142284989356995
637,0.8605902791023254,0.3324616253376007,0.9688677787780762,0.136253222823143,0.23459799587726593,6370,0.918954610824585,0.9145962595939636
638,0.8573291897773743,0.3377721607685089,0.9661641716957092,0.13737085461616516,0.23781722784042358,6380,0.9151198267936707,0.9116132855415344
639,0.8554540872573853,0.34365952014923096,0.9681304097175598,0.13549156486988068,0.23983073234558105,6390,0.9152157306671143,0.9116541147232056
640,0.862302303314209,0.3330765962600708,0.9709159135818481,0.13911814987659454,0.23633511364459991,6400,0.9212756752967834,0.9164759516716003
641,0.8582260012626648,0.33816665410995483,0.9698508977890015,0.1412886530160904,0.23996908962726593,6410,0.9192441701889038,0.9139016270637512
642,0.8622207641601562,0.33210521936416626,0.9715713858604431,0.1344584971666336,0.23352421820163727,6420,0.9212510585784912,0.9167619943618774
643,0.8627914786338806,0.3319096267223358,0.971489429473877,0.13325965404510498,0.23282815515995026,6430,0.9211782217025757,0.9170072078704834
644,0.8610793948173523,0.33421823382377625,0.9713255763053894,0.13331091403961182,0.23401086032390594,6440,0.9199283123016357,0.916067361831665
645,0.8588781952857971,0.3371681571006775,0.9710798263549805,0.1334899514913559,0.23557879030704498,6450,0.9185173511505127,0.9148414731025696
646,0.8583075404167175,0.33683475852012634,0.9705063104629517,0.13251928985118866,0.23492741584777832,6460,0.9181428551673889,0.9142693877220154
647,0.8524376153945923,0.34650275111198425,0.9696870446205139,0.13369059562683105,0.24035772681236267,6470,0.9143754839897156,0.9109185934066772
648,0.8548834323883057,0.3416416645050049,0.9685400724411011,0.13494129478931427,0.23854486644268036,6480,0.9149237871170044,0.9115723967552185
649,0.8599380254745483,0.33211591839790344,0.9703424572944641,0.1321030855178833,0.23235470056533813,6490,0.9189020991325378,0.9150049090385437
650,0.8597750067710876,0.3327500820159912,0.9681304097175598,0.13588954508304596,0.23456120491027832,6500,0.9172390103340149,0.9138198494911194
651,0.8627099394798279,0.32966047525405884,0.9708340167999268,0.13299605250358582,0.2315693348646164,6510,0.920430600643158,0.9166394472122192
652,0.8619762063026428,0.33051252365112305,0.9718990921974182,0.13309013843536377,0.23204326629638672,6520,0.9213717579841614,0.9168028831481934
653,0.8622207641601562,0.32950088381767273,0.9723086953163147,0.13519717752933502,0.2325872778892517,6530,0.9216988682746887,0.9171297550201416
654,0.8628729581832886,0.3292858600616455,0.9726364016532898,0.13457177579402924,0.23216760158538818,6540,0.9220297336578369,0.9176201224327087
