,at_least_6_or_at_most_2_accuracy,at_most_3_accuracy,global_step,loss,total_accuracy
0,0.5011148452758789,0.49737662076950073,1,0.7037602066993713,0.49923890829086304
1,0.5011148452758789,0.49737662076950073,51,0.6993690729141235,0.49923890829086304
2,0.5011148452758789,0.4984423816204071,101,0.6959424018859863,0.4997737407684326
3,0.5011148452758789,0.515084445476532,151,0.6933422684669495,0.5081252455711365
4,0.5011148452758789,0.6027217507362366,201,0.6914694905281067,0.5521043539047241
5,0.5011148452758789,0.7172487378120422,251,0.6892400979995728,0.609577476978302
6,0.5011148452758789,0.7253648042678833,301,0.6875872015953064,0.613650381565094
7,0.5011148452758789,0.7802918553352356,351,0.6841797828674316,0.6412144899368286
8,0.5011148452758789,0.8204623460769653,401,0.6801813840866089,0.6613732576370239
9,0.5011148452758789,0.8444007039070129,451,0.6758239269256592,0.67338627576828
10,0.6241638660430908,0.8575996160507202,501,0.6711893677711487,0.7413091063499451
11,0.6916342973709106,0.8842433094978333,551,0.6653633713722229,0.7882914543151855
12,0.657197117805481,0.856205940246582,601,0.657355546951294,0.7570658922195435
13,0.5955900549888611,0.8403836488723755,651,0.6450613141059875,0.7184349894523621
14,0.6404327154159546,0.9002295732498169,701,0.6296757459640503,0.7708067893981934
15,0.712527871131897,0.8707984685897827,751,0.6076412200927734,0.791952908039093
16,0.6712362766265869,0.9415478110313416,801,0.5823687314987183,0.8068869113922119
17,0.5989759564399719,0.8784226775169373,851,0.5571861267089844,0.7392109036445618
18,0.6929556727409363,0.8926873207092285,901,0.536937952041626,0.793187141418457
19,0.6796597838401794,0.8852270841598511,951,0.5209798216819763,0.7828197479248047
20,0.7153357267379761,0.8726020455360413,1001,0.5079418420791626,0.7942568063735962
21,0.7829713225364685,0.8718642592430115,1051,0.5001197457313538,0.8275805115699768
22,0.7948633432388306,0.8744056224822998,1101,0.4894471764564514,0.8347800970077515
23,0.7340821027755737,0.8709624409675598,1151,0.4826139509677887,0.8027728796005249
24,0.6565364599227905,0.8691588640213013,1201,0.483953595161438,0.763236939907074
