,global_step,loss,not_all_accuracy,not_only_accuracy,total_accuracy
0,1,0.6949837803840637,0.5010769963264465,0.4867914021015167,0.4940119683742523
1,51,0.6909543871879578,0.5083467960357666,0.4837644398212433,0.4961894452571869
2,101,0.6871051788330078,0.5250403881072998,0.48403963446617126,0.5047631859779358
3,151,0.6822826266288757,0.5947765111923218,0.4906439185142517,0.5432770848274231
4,201,0.6771748065948486,0.6987075805664062,0.5195376873016357,0.6100980043411255
5,251,0.6711064577102661,0.7555196285247803,0.5401760935783386,0.6490201354026794
6,301,0.6630272269248962,0.7649434804916382,0.5965877771377563,0.6816821098327637
7,351,0.6538975834846497,0.7689822316169739,0.5778756141662598,0.6744692325592041
8,401,0.6413171291351318,0.7975229024887085,0.57292240858078,0.6864452958106995
9,451,0.62044757604599,0.8066774606704712,0.6419922709465027,0.7252313494682312
10,501,0.5978151559829712,0.8185244798660278,0.6860209107398987,0.7529940009117126
11,551,0.5699401497840881,0.8486806750297546,0.6788662672042847,0.7646978497505188
12,601,0.5406485795974731,0.8648357391357422,0.680792510509491,0.7738159894943237
13,651,0.507017970085144,0.883414089679718,0.6986791491508484,0.7920522689819336
14,701,0.47793760895729065,0.9001076817512512,0.6942762732505798,0.7983124852180481
15,751,0.45418909192085266,0.9103392362594604,0.6948266625404358,0.8037561178207397
16,801,0.43384167551994324,0.9189553260803223,0.6986791491508484,0.8100163340568542
17,851,0.41644859313964844,0.9232633113861084,0.7044578790664673,0.8150517344474792
18,901,0.4019480347633362,0.9254173636436462,0.709961473941803,0.81886225938797
19,951,0.39444783329963684,0.9267635941505432,0.709686279296875,0.8194066286087036
20,1001,0.37634047865867615,0.938072144985199,0.7239956259727478,0.832199215888977
21,1051,0.36777305603027344,0.938072144985199,0.7311502695083618,0.8357375860214233
22,1101,0.3676757216453552,0.9324178695678711,0.7330765128135681,0.833832323551178
23,1151,0.34874653816223145,0.9437264204025269,0.7559163570404053,0.8508437871932983
24,1201,0.3491126298904419,0.9361873865127563,0.7567418813705444,0.8474414944648743
25,1251,0.33730801939964294,0.9399569034576416,0.768574595451355,0.8551986813545227
26,1301,0.32011350989341736,0.9509962201118469,0.7749037146568298,0.8639085292816162
27,1351,0.3137916922569275,0.9542272686958313,0.7765547633171082,0.86635822057724
28,1401,0.302914559841156,0.9563812613487244,0.7930654883384705,0.8756124377250671
29,1451,0.2953956127166748,0.9520732164382935,0.8106769323348999,0.8821448087692261
30,1501,0.2982341945171356,0.945341944694519,0.8238855004310608,0.8852748870849609
31,1551,0.2711840271949768,0.9639202952384949,0.8296642899513245,0.8975231647491455
32,1601,0.2616369426250458,0.9636510610580444,0.8365437388420105,0.9007893204689026
33,1651,0.26417288184165955,0.9542272686958313,0.8544303774833679,0.9048720598220825
34,1701,0.23725219070911407,0.966882050037384,0.8610346913337708,0.9145345687866211
35,1751,0.2486836165189743,0.9542272686958313,0.8679141402244568,0.9115405678749084
36,1801,0.22318708896636963,0.95691978931427,0.8882773518562317,0.9229722619056702
37,1851,0.2031262367963791,0.9706515669822693,0.8902036547660828,0.9308655261993408
38,1901,0.20009031891822815,0.9666128158569336,0.9034122228622437,0.9353565573692322
39,1951,0.18354375660419464,0.9706515669822693,0.9157952666282654,0.943522036075592
40,2001,0.17322427034378052,0.9701130986213684,0.919922947883606,0.9452912211418152
41,2051,0.16285428404808044,0.9701130986213684,0.9301045536994934,0.9503266215324402
42,2101,0.18113631010055542,0.9547657370567322,0.9369840621948242,0.945971667766571
43,2151,0.18116310238838196,0.94964998960495,0.9408365488052368,0.9452912211418152
44,2201,0.14390064775943756,0.971997857093811,0.9479911923408508,0.960125207901001
45,2251,0.14233078062534332,0.9695745706558228,0.9507429599761963,0.9602612853050232
46,2301,0.1354883760213852,0.9701130986213684,0.9537699222564697,0.9620304703712463
47,2351,0.1527845859527588,0.9558427333831787,0.9548706412315369,0.9553620219230652
48,2401,0.12159305810928345,0.9730748534202576,0.9625756740570068,0.9678823947906494
49,2451,0.12191814184188843,0.9693053364753723,0.9664281606674194,0.9678823947906494
50,2501,0.10899852216243744,0.9725363254547119,0.9702807068824768,0.9714208245277405
51,2551,0.12352757900953293,0.9612277746200562,0.971106231212616,0.9661132097244263
52,2601,0.10724164545536041,0.9730748534202576,0.9697303175926208,0.9714208245277405
53,2651,0.10605069249868393,0.9738826155662537,0.9609246253967285,0.9674741625785828
54,2701,0.10152235627174377,0.9717286229133606,0.9733076691627502,0.972509503364563
55,2751,0.09532532840967178,0.9738826155662537,0.9763346314430237,0.975095272064209
56,2801,0.09007379412651062,0.9738826155662537,0.9752339124679565,0.9745509028434753
57,2851,0.08759713172912598,0.9760366082191467,0.977710485458374,0.9768644571304321
58,2901,0.09607703983783722,0.9682283401489258,0.9760594367980957,0.9721012711524963
59,2951,0.09977103024721146,0.9676898121833801,0.9763346314430237,0.9719651341438293
60,3001,0.09044784307479858,0.9711900949478149,0.977985680103302,0.9745509028434753
61,3051,0.08939772099256516,0.9687668085098267,0.9763346314430237,0.972509503364563
62,3101,0.08772522956132889,0.9693053364753723,0.9774353504180908,0.9733260869979858
63,3151,0.07634812593460083,0.9776521325111389,0.977710485458374,0.9776809811592102
64,3201,0.07715418934822083,0.9757673740386963,0.9766098260879517,0.9761840105056763
65,3251,0.07608652859926224,0.9792676568031311,0.9766098260879517,0.9779531955718994
66,3301,0.06975089013576508,0.9806138873100281,0.9815630316734314,0.9810832738876343
67,3351,0.070894755423069,0.9803446531295776,0.9821133613586426,0.9812193512916565
68,3401,0.06702618300914764,0.9816908836364746,0.9812878370285034,0.9814915657043457
69,3451,0.06555832922458649,0.979806125164032,0.9810126423835754,0.9804028272628784
70,3501,0.06866322457790375,0.9765751361846924,0.9810126423835754,0.9787697196006775
71,3551,0.07899634540081024,0.9717286229133606,0.9738579988479614,0.9727817177772522
72,3601,0.06714111566543579,0.9838449358940125,0.9837644696235657,0.9838051199913025
73,3651,0.07512820512056351,0.9698438048362732,0.9845899939537048,0.9771366119384766
74,3701,0.06362522393465042,0.9854604005813599,0.9840396046638489,0.9847577810287476
75,3751,0.06544315814971924,0.9859989285469055,0.9823885560035706,0.9842134118080139
76,3801,0.0658039003610611,0.9781906008720398,0.9826637506484985,0.9804028272628784
77,3851,0.059916552156209946,0.9833064079284668,0.9810126423835754,0.9821720123291016
78,3901,0.06533457338809967,0.9757673740386963,0.9843147993087769,0.979994535446167
79,3951,0.08393741399049759,0.9663435816764832,0.985415518283844,0.9757757186889648
80,4001,0.055399443954229355,0.9835756421089172,0.9859659075737,0.9847577810287476
81,4051,0.0528237409889698,0.986268162727356,0.9862410426139832,0.9862547516822815
82,4101,0.05705214664340019,0.9811524152755737,0.9848651885986328,0.9829885959625244
83,4151,0.0532245859503746,0.986268162727356,0.9865162372589111,0.9863908290863037
84,4201,0.05366702005267143,0.9827678799629211,0.9876169562339783,0.9851660132408142
85,4251,0.04983697086572647,0.9889606833457947,0.9873417615890503,0.9881600141525269
86,4301,0.05108087137341499,0.9833064079284668,0.9870665669441223,0.9851660132408142
87,4351,0.047439299523830414,0.9876144528388977,0.9873417615890503,0.987479567527771
88,4401,0.046901896595954895,0.9876144528388977,0.9881672859191895,0.9878878593444824
89,4451,0.07008305937051773,0.9690361022949219,0.9884424805641174,0.9786336421966553
90,4501,0.06390883773565292,0.9757673740386963,0.9837644696235657,0.9797223806381226
91,4551,0.05743226781487465,0.9800754189491272,0.9903687238693237,0.9851660132408142
92,4601,0.04368022456765175,0.9884222149848938,0.9884424805641174,0.9884322285652161
93,4651,0.057146184146404266,0.9752288460731506,0.9881672859191895,0.9816276431083679
94,4701,0.053883206099271774,0.9822294116020203,0.9804623126983643,0.9813554883003235
95,4751,0.04468546807765961,0.9857296943664551,0.9892680048942566,0.987479567527771
96,4801,0.05107659474015236,0.9792676568031311,0.9881672859191895,0.9836690425872803
