,at_least_3_accuracy,global_step,last_3_accuracy,loss,total_accuracy
0,0.5037916898727417,1,0.499297171831131,0.6916821599006653,0.5015245079994202
1,0.5037916898727417,51,0.5015462636947632,0.6903426647186279,0.502659022808075
2,0.5042209029197693,101,0.5030924677848816,0.6891232132911682,0.5036516785621643
3,0.5046501755714417,151,0.5043575763702393,0.6880647540092468,0.5045025944709778
4,0.5049363374710083,201,0.5052010416984558,0.6869810223579407,0.5050698518753052
5,0.5077979564666748,251,0.5019679665565491,0.6858077645301819,0.5048571228981018
6,0.5098010897636414,301,0.49985942244529724,0.6847473382949829,0.5047861933708191
7,0.5158105492591858,351,0.499297171831131,0.6834145188331604,0.5074806809425354
8,0.5090857148170471,401,0.5503233075141907,0.6814035177230835,0.5298872590065002
9,0.5090857148170471,451,0.5836378931999207,0.6798034310340881,0.5466921925544739
10,0.5119473338127136,501,0.6362102627754211,0.6778466105461121,0.5746294856071472
11,0.5199599266052246,551,0.6696654558181763,0.6756288409233093,0.5954761505126953
12,0.5232508182525635,601,0.715209424495697,0.673352062702179,0.620080828666687
13,0.5530118942260742,651,0.6823165416717529,0.6707136631011963,0.6182372570037842
14,0.571612536907196,701,0.7036828994750977,0.667646586894989,0.6382330060005188
15,0.6113893389701843,751,0.674304187297821,0.6645224094390869,0.643125593662262
16,0.6435827612876892,801,0.6922968626022339,0.6607972979545593,0.6681557297706604
17,0.6497352719306946,851,0.71900475025177,0.6562948822975159,0.684677004814148
18,0.6754900813102722,901,0.778043270111084,0.6507704854011536,0.7272211313247681
19,0.7508942484855652,951,0.7762159109115601,0.6442099809646606,0.7636672854423523
20,0.7105451226234436,1001,0.780432939529419,0.636846125125885,0.7457987666130066
21,0.7713549733161926,1051,0.7807140946388245,0.6273512840270996,0.7760760188102722
22,0.7973958849906921,1101,0.7686252593994141,0.6152470707893372,0.7828830480575562
23,0.7468879818916321,1151,0.7694686651229858,0.6024810671806335,0.7582783699035645
24,0.8124195337295532,1201,0.7549901604652405,0.5881974697113037,0.7834503054618835
25,0.8034053444862366,1251,0.7611751556396484,0.5731900930404663,0.7821031212806702
26,0.8407497406005859,1301,0.755271315574646,0.5540371537208557,0.7976316809654236
