,at_least_3_accuracy,at_least_3_loss,first_3_accuracy,first_3_loss,loss,steps,total_F1,total_accuracy
1444,0.9889277219772339,0.04291596636176109,0.9613702893257141,0.10657913237810135,0.0747382789850235,14419,0.9750785827636719,0.9751530289649963
1445,0.9873251914978027,0.04555121064186096,0.96049565076828,0.10827196389436722,0.07690245658159256,14429,0.9739218950271606,0.9739143252372742
1446,0.9874708652496338,0.04591528698801994,0.9628279805183411,0.10567066073417664,0.07578427344560623,14439,0.975067675113678,0.9751530289649963
1447,0.9884907007217407,0.04401133954524994,0.9629737734794617,0.1055351123213768,0.07476422935724258,14449,0.975698709487915,0.9757359623908997
1448,0.9861596822738647,0.04866814240813255,0.9530612230300903,0.12074614316225052,0.08469665050506592,14459,0.9698634147644043,0.9696152806282043
1449,0.9823718070983887,0.053933218121528625,0.9494169354438782,0.12847666442394257,0.09119409322738647,14469,0.9662142992019653,0.9658991694450378
1450,0.9884907007217407,0.04363110288977623,0.9368804693222046,0.15439505875110626,0.09899697452783585,14479,0.9636001586914062,0.9626930952072144
1451,0.9879079461097717,0.044083982706069946,0.9654518961906433,0.10210668295621872,0.07308687269687653,14489,0.9767745733261108,0.9766831994056702
1452,0.9881992936134338,0.043603572994470596,0.960058331489563,0.12262080609798431,0.08310066908597946,14499,0.9738797545433044,0.9741328954696655
1453,0.9863053560256958,0.04722515121102333,0.9661807417869568,0.10408399254083633,0.07564627379179001,14509,0.9762598276138306,0.9762459993362427
1454,0.9867424368858337,0.04734204709529877,0.9647230505943298,0.10445579886436462,0.07589055597782135,14519,0.975885272026062,0.9757359623908997
1455,0.9870337843894958,0.045883484184741974,0.9553936123847961,0.1206200122833252,0.08324084430932999,14529,0.9716541171073914,0.9712182879447937
1456,0.9873251914978027,0.04482491314411163,0.9577259421348572,0.1169302836060524,0.08086707442998886,14539,0.9728562235832214,0.9725298881530762
1457,0.9870337843894958,0.04485583305358887,0.9641399383544922,0.1046469658613205,0.07474268972873688,14549,0.975641667842865,0.9755902290344238
1458,0.9879079461097717,0.04446437209844589,0.9657434225082397,0.10338330268859863,0.07391522824764252,14559,0.9768726825714111,0.976828932762146
1459,0.9880536198616028,0.043904468417167664,0.9629737734794617,0.1146436259150505,0.07926377654075623,14569,0.9753159284591675,0.9755173325538635
1460,0.9883449673652649,0.04355268180370331,0.9637026190757751,0.11065090447664261,0.07709203660488129,14579,0.9758709073066711,0.9760273694992065
1461,0.9880536198616028,0.04336144030094147,0.9637026190757751,0.11107061058282852,0.07720616459846497,14589,0.9757277965545654,0.9758816957473755
1462,0.9887820482254028,0.04324872046709061,0.9618076086044312,0.11890696734189987,0.08106683194637299,14599,0.9750607013702393,0.9752987623214722
1463,0.9876165390014648,0.04502197355031967,0.961953341960907,0.10830218344926834,0.07665286213159561,14609,0.9750576615333557,0.9747886657714844
1464,0.9858682751655579,0.04730963706970215,0.9443148970603943,0.1363559514284134,0.09181983023881912,14619,0.9659244418144226,0.9650976657867432
1465,0.9879079461097717,0.0443311408162117,0.9622448682785034,0.10765296220779419,0.07598283141851425,14629,0.9753033518791199,0.975080132484436
1466,0.9871794581413269,0.04440584033727646,0.9645772576332092,0.10353606939315796,0.07396234571933746,14639,0.9759569764137268,0.9758816957473755
1467,0.9855769276618958,0.04863119125366211,0.9590378999710083,0.11436879634857178,0.0814904123544693,14649,0.972507655620575,0.97231125831604
1468,0.9833915829658508,0.0522584430873394,0.9606413841247559,0.11120506376028061,0.0817231833934784,14659,0.9720970392227173,0.9720197916030884
1469,0.9877622127532959,0.0450308732688427,0.966035008430481,0.10142314434051514,0.07321879267692566,14669,0.9768596291542053,0.9769017696380615
1470,0.9868881106376648,0.04440882056951523,0.9667638540267944,0.10618817061185837,0.0752895176410675,14679,0.976665735244751,0.976828932762146
1471,0.9881992936134338,0.043307989835739136,0.9667638540267944,0.1044996976852417,0.0738949179649353,14689,0.9774172306060791,0.9774847030639648
1472,0.9876165390014648,0.04399732127785683,0.9655976891517639,0.10827824473381042,0.07612838596105576,14699,0.9765197038650513,0.9766103029251099
1473,0.9874708652496338,0.04392051324248314,0.9599125385284424,0.12461072951555252,0.08425386250019073,14709,0.9734694957733154,0.973695695400238
1474,0.9867424368858337,0.044748276472091675,0.9639941453933716,0.1127704307436943,0.0787494033575058,14719,0.9752671122550964,0.9753715991973877
1475,0.9877622127532959,0.04365091398358345,0.9676384925842285,0.10006612539291382,0.07185031473636627,14729,0.9777324795722961,0.9777032732963562
1476,0.9886363744735718,0.04284091666340828,0.9615160226821899,0.10804110020399094,0.07543149590492249,14739,0.9752925634384155,0.975080132484436
1477,0.9873251914978027,0.04367887228727341,0.9459183812141418,0.13298307359218597,0.08831796795129776,14749,0.9672296047210693,0.9666277766227722
1478,0.9876165390014648,0.0430445671081543,0.9639941453933716,0.10185237973928452,0.07243990898132324,14759,0.9758650660514832,0.9758087992668152
1479,0.9879079461097717,0.04328968748450279,0.9568513035774231,0.13394373655319214,0.08860348910093307,14769,0.9719570875167847,0.9723841547966003
1480,0.9879079461097717,0.042456913739442825,0.9526239037513733,0.14647752046585083,0.09445203840732574,14779,0.9697867631912231,0.9702710509300232
1481,0.9867424368858337,0.04499193653464317,0.9631195068359375,0.1127522885799408,0.07886224240064621,14789,0.9748538136482239,0.9749343991279602
1482,0.9868881106376648,0.04501422494649887,0.9638484120368958,0.10552770644426346,0.07526212930679321,14799,0.9753788113594055,0.9753715991973877
1483,0.9880536198616028,0.04363466799259186,0.9639941453933716,0.10560273379087448,0.0746096670627594,14809,0.9760011434555054,0.9760273694992065
1484,0.9883449673652649,0.04340202361345291,0.9639941453933716,0.10765978693962097,0.07552153617143631,14819,0.9761261343955994,0.9761731028556824
1485,0.9883449673652649,0.04211144894361496,0.9625364542007446,0.1166873350739479,0.0793885588645935,14829,0.9752660393714905,0.975444495677948
1486,0.9868881106376648,0.044578175991773605,0.9593294262886047,0.12470255047082901,0.08462872356176376,14839,0.9727494120597839,0.9731128215789795
1487,0.9889277219772339,0.043038979172706604,0.9591836929321289,0.12565645575523376,0.08433567732572556,14849,0.9737346768379211,0.97406005859375
1488,0.9887820482254028,0.04203327000141144,0.9637026190757751,0.1101975217461586,0.0761055052280426,14859,0.9761101603507996,0.9762459993362427
