,at_least_3_accuracy,first_3_accuracy,global_step,loss,total_accuracy
0,0.4938524663448334,0.493000864982605,1,0.7098996043205261,0.4934258460998535
1,0.4938524663448334,0.493000864982605,51,0.7063619494438171,0.4934258460998535
2,0.4938524663448334,0.493000864982605,101,0.7035887837409973,0.4934258460998535
3,0.4938524663448334,0.49081364274024963,151,0.700991153717041,0.4923301637172699
4,0.4938524663448334,0.4925634264945984,201,0.6985878944396973,0.4932067096233368
5,0.4938524663448334,0.493000864982605,251,0.6967023015022278,0.4934258460998535
6,0.4938524663448334,0.4927092492580414,301,0.6945991516113281,0.49327975511550903
7,0.4938524663448334,0.493000864982605,351,0.6933953166007996,0.4934258460998535
8,0.4938524663448334,0.49329251050949097,401,0.6917423009872437,0.493571937084198
9,0.4938524663448334,0.49402159452438354,451,0.6896923780441284,0.4939371943473816
10,0.515954315662384,0.49722951650619507,501,0.6874294877052307,0.5065741539001465
11,0.7792739868164062,0.49883347749710083,551,0.6845921277999878,0.6387874484062195
12,0.7909836173057556,0.4992709159851074,601,0.6811599135398865,0.6448502540588379
13,0.8097189664840698,0.49475064873695374,651,0.6770976781845093,0.6519356966018677
14,0.8271369934082031,0.5110819339752197,701,0.6706145405769348,0.6688093543052673
15,0.8372365236282349,0.5482648015022278,751,0.6609523296356201,0.6924762725830078
16,0.8890514969825745,0.6447944045066833,801,0.6472851634025574,0.7666910290718079
17,0.8758782148361206,0.6908719539642334,851,0.6254101991653442,0.7831994295120239
18,0.9317915439605713,0.7267425060272217,901,0.594433069229126,0.8290722966194153
19,0.9164227247238159,0.7825896739959717,951,0.5528347492218018,0.8493791222572327
20,0.9202283620834351,0.7806940674781799,1001,0.5032249093055725,0.8503286838531494
21,0.9136416912078857,0.8114610910415649,1051,0.45952528715133667,0.862454354763031
22,0.8995901346206665,0.8130650520324707,1101,0.43060413002967834,0.8562454581260681
23,0.8944672346115112,0.8482064604759216,1151,0.39739078283309937,0.8712928891181946
24,0.8309426307678223,0.8594342470169067,1201,0.3873897194862366,0.8452154994010925
25,0.8808547854423523,0.8659959435462952,1251,0.3666191101074219,0.873411238193512
26,0.8815866708755493,0.8693496584892273,1301,0.3465918302536011,0.8754565119743347
27,0.8968091607093811,0.8643919229507446,1351,0.3417215943336487,0.8805697560310364
28,0.8978337049484253,0.8703703880310059,1401,0.3249816596508026,0.884075939655304
29,0.898126482963562,0.874015748500824,1451,0.31540846824645996,0.8860481977462769
30,0.9017857313156128,0.8759113550186157,1501,0.3082672953605652,0.8888239860534668
31,0.9074941277503967,0.8776611089706421,1551,0.3056642413139343,0.8925492763519287
32,0.9067623019218445,0.8829104900360107,1601,0.290475457906723,0.8948137164115906
33,0.9052985906600952,0.8865558505058289,1651,0.283975750207901,0.8959094285964966
34,0.9007611274719238,0.887430727481842,1701,0.2844259738922119,0.8940832614898682
35,0.9126170873641968,0.8910760879516602,1751,0.2722643315792084,0.9018261432647705
36,0.9136416912078857,0.8896179795265198,1801,0.27003341913223267,0.9016070365905762
37,0.9164227247238159,0.8950130939483643,1851,0.26218003034591675,0.9056975841522217
38,0.9190573692321777,0.8953047394752502,1901,0.26112091541290283,0.9071584939956665
39,0.9268149733543396,0.8950130939483643,1951,0.25310662388801575,0.9108838438987732
40,0.9146662950515747,0.9002624750137329,2001,0.25421392917633057,0.9074506759643555
41,0.9156908392906189,0.9033246040344238,2051,0.2489841878414154,0.909496009349823
