,at_least_4_accuracy,at_least_4_loss,at_least_6_or_at_most_2_accuracy,at_least_6_or_at_most_2_loss,loss,steps,total_F1,total_accuracy
1860,0.9949247241020203,0.022091517224907875,0.9839275479316711,0.2970739006996155,0.16093066334724426,18600,0.9894383549690247,0.989372193813324
1861,0.9938430786132812,0.026076847687363625,0.9776454567909241,0.2971075475215912,0.16292081773281097,18610,0.9858201742172241,0.9856648445129395
1862,0.9948415160179138,0.02214956283569336,0.9636126160621643,0.29614806175231934,0.160491943359375,18620,0.9794331789016724,0.9790740013122559
1863,0.9950910806655884,0.02130654640495777,0.958309531211853,0.29664868116378784,0.16032730042934418,18630,0.9769790172576904,0.9765200018882751
1864,0.9949247241020203,0.02157004550099373,0.9749531149864197,0.2959916293621063,0.16012601554393768,18640,0.9850174784660339,0.984840989112854
1865,0.9948415160179138,0.021740373224020004,0.9763400554656982,0.29612308740615845,0.16027671098709106,18650,0.985657274723053,0.9855000972747803
1866,0.994175910949707,0.023613473400473595,0.9759321212768555,0.2965351641178131,0.16141220927238464,18660,0.9851402640342712,0.9849645495414734
1867,0.9938430786132812,0.024416020140051842,0.9754425883293152,0.2962662875652313,0.16167373955249786,18670,0.9847381114959717,0.9845526218414307
1868,0.9959231019020081,0.02210135944187641,0.9634494781494141,0.2969565987586975,0.16087624430656433,18680,0.979846715927124,0.9795271158218384
1869,0.9952574968338013,0.023209430277347565,0.9587174654006958,0.29766708612442017,0.1617836207151413,18690,0.977220356464386,0.9768083691596985
1870,0.9951742887496948,0.020769843831658363,0.9690788984298706,0.29521995782852173,0.15934023261070251,18700,0.9822509288787842,0.9819986820220947
1871,0.9944254755973816,0.022195912897586823,0.9707921743392944,0.2953091859817505,0.1600913554430008,18710,0.9827369451522827,0.982492983341217
1872,0.9952574968338013,0.02105557918548584,0.9640205502510071,0.2956753969192505,0.15971164405345917,18720,0.9798299670219421,0.9794859290122986
1873,0.996089518070221,0.021626587957143784,0.9586358666419983,0.29722046852111816,0.16077446937561035,18730,0.9775997996330261,0.9771791100502014
1874,0.995590329170227,0.0203088391572237,0.9796850681304932,0.2948932647705078,0.15894706547260284,18740,0.9876593351364136,0.9875597357749939
1875,0.9953407049179077,0.020772872492671013,0.9880068302154541,0.29674890637397766,0.16011370718479156,18750,0.9916676878929138,0.9916378259658813
1876,0.9950910806655884,0.021588755771517754,0.9886595606803894,0.29768070578575134,0.16098809242248535,18760,0.9918712973594666,0.9918438196182251
1877,0.9955071210861206,0.02043001726269722,0.9876804947853088,0.29568368196487427,0.1594061553478241,18770,0.9915862679481506,0.9915554523468018
1878,0.9951742887496948,0.020855309441685677,0.9844170808792114,0.2949306070804596,0.15923647582530975,18780,0.9898021817207336,0.9897429347038269
1879,0.9938430786132812,0.02448483556509018,0.9821326732635498,0.2950464189052582,0.1610918641090393,18790,0.9880285859107971,0.9879304766654968
